,,Temp,Hi,Low,Out,Dew,Wind,Wind,Wind,Hi,Hi,Wind,Heat,THW,THSW,,,Rain,Solar,Solar,Hi Solar,UV ,UV ,Hi ,Heat,Cool,In ,In,In ,In ,,Wind,Wind,ISS ,Arc.
1/1/2022,1:40 AM,21.8,21.8,21.8,80,18.2,0,WSW,0,1.3,WSW,21.8,22.5,22.5,21.2,1007.5,0,0,0,0,0,0,0,0,0,0.024,24.1,64,16.8,24.7,0,234,1,100,10
1/1/2022,1:50 AM,21.7,21.8,21.7,81,18.3,0.4,WSW,0.27,1.3,WSW,21.7,22.5,22.5,21.2,1007.4,0,0,0,0,0,0,0,0,0,0.024,24.2,64,16.9,24.8,0,234,1,100,10
1/1/2022,2:00 AM,21.7,21.7,21.7,81,18.3,0,WSW,0,0.9,WSW,21.7,22.5,22.5,21.2,1007.4,0,0,0,0,0,0,0,0,0,0.024,24.2,61,16.2,24.7,0,234,1,100,10
1/1/2022,2:10 AM,21.8,21.8,21.7,81,18.4,0,WSW,0,0.9,WSW,21.8,22.6,22.6,21.3,1007.4,0,0,0,0,0,0,0,0,0,0.024,23.9,64,16.7,24.6,0.03,234,1,100,10
1/1/2022,2:20 AM,21.8,21.8,21.7,81,18.4,0,WSW,0,0.4,WSW,21.8,22.6,22.6,21.3,1007.3,0,0,0,0,0,0,0,0,0,0.024,23.9,64,16.7,24.6,0,235,1,100,10
1/1/2022,2:30 AM,21.7,21.8,21.7,81,18.3,0,WSW,0,0.9,WSW,21.7,22.5,22.5,21.2,1007.1,0,0,0,0,0,0,0,0,0,0.024,23.9,64,16.7,24.6,0,234,1,100,10
1/1/2022,2:40 AM,21.7,21.7,21.7,81,18.3,0,WSW,0,1.3,WSW,21.7,22.5,22.5,21.2,1007.1,0,0,0,0,0,0,0,0,0,0.024,24.1,64,16.8,24.7,0,234,1,100,10
1/1/2022,2:50 AM,21.7,21.7,21.7,81,18.3,0,---,0,0,---,21.7,22.5,22.5,21.2,1007,0,0,0,0,0,0,0,0,0,0.024,24.2,64,16.9,24.8,0,234,1,100,10
1/1/2022,3:00 AM,21.7,21.7,21.7,81,18.3,0,WSW,0,1.3,WSW,21.7,22.5,22.5,21.2,1007,0,0,0,0,0,0,0,0,0,0.024,24.3,64,17,24.9,0.03,234,1,100,10
1/1/2022,3:10 AM,21.7,21.7,21.7,81,18.3,0,WSW,0,0.9,WSW,21.7,22.4,22.4,21.2,1007,0,0,0,0,0,0,0,0,0,0.023,24.1,61,16.1,24.6,0,234,1,100,10
1/1/2022,3:20 AM,21.7,21.7,21.7,81,18.3,0,WSW,0,0.9,WSW,21.7,22.5,22.5,21.2,1007,0,0,0,0,0,0,0,0,0,0.024,23.9,64,16.7,24.6,0,235,1,100,10
1/1/2022,3:30 AM,21.7,21.7,21.7,81,18.3,0,WSW,0,0.9,WSW,21.7,22.4,22.4,21.2,1006.8,0,0,0,0,0,0,0,0,0,0.023,23.9,64,16.7,24.6,0,234,1,100,10
1/1/2022,3:40 AM,21.6,21.7,21.6,81,18.2,0,WSW,0,0.4,WSW,21.6,22.4,22.4,21.1,1006.8,0,0,0,0,0,0,0,0,0,0.023,23.9,64,16.7,24.6,0,234,1,100,10
1/1/2022,3:50 AM,21.6,21.6,21.6,81,18.2,0,WSW,0,1.8,WSW,21.6,22.4,22.4,21.1,1006.8,0,0,0,0,0,0,0,0,0,0.023,24.1,64,16.8,24.7,0,234,1,100,10
1/1/2022,4:00 AM,21.6,21.6,21.6,82,18.4,0,WSW,0,0.9,WSW,21.6,22.4,22.4,21.1,1006.8,0,0,0,0,0,0,0,0,0,0.022,24.2,64,16.9,24.8,0.03,234,1,100,10
1/1/2022,4:10 AM,21.6,21.6,21.6,82,18.4,0,WSW,0,0.9,WSW,21.6,22.4,22.4,21.1,1006.8,0,0,0,0,0,0,0,0,0,0.022,24.3,63,16.8,24.8,0,234,1,100,10
1/1/2022,4:20 AM,21.5,21.6,21.5,82,18.3,0,WSW,0,0.9,WSW,21.5,22.3,22.3,21,1006.9,0,0,0,0,0,0,0,0,0,0.022,24.3,63,16.8,24.8,0,234,1,100,10
1/1/2022,4:30 AM,21.5,21.6,21.5,82,18.3,0,WSW,0,0.9,WSW,21.5,22.3,22.3,21,1006.9,0,0,0,0,0,0,0,0,0,0.022,24.3,62,16.6,24.8,0,235,1,100,10
1/1/2022,4:40 AM,21.5,21.5,21.5,82,18.3,0,WSW,0,0.9,WSW,21.5,22.3,22.3,21,1006.9,0,0,0,0,0,0,0,0,0,0.022,23.9,63,16.5,24.6,0,234,1,100,10
1/1/2022,4:50 AM,21.5,21.5,21.5,82,18.3,0,WSW,0,1.3,WSW,21.5,22.3,22.3,21,1006.9,0,0,0,0,0,0,0,0,0,0.022,23.9,64,16.7,24.6,0,234,1,100,10
1/1/2022,5:00 AM,21.5,21.5,21.5,82,18.3,0.4,NNE,0.27,1.8,NNE,21.5,22.3,22.3,21,1006.9,0,0,0,0,0,0,0,0,0,0.022,23.9,64,16.7,24.6,0.03,234,1,100,10
1/1/2022,5:10 AM,21.5,21.5,21.5,82,18.3,0.4,WSW,0.27,1.3,WSW,21.5,22.3,22.3,21,1007.1,0,0,0,0,0,0,0,0,0,0.022,24.1,63,16.6,24.7,0,234,1,100,10
1/1/2022,5:20 AM,21.5,21.5,21.5,82,18.3,0,WSW,0,1.3,WSW,21.5,22.3,22.3,21,1007.1,0,0,0,0,0,0,0,0,0,0.022,24.2,63,16.7,24.8,0,234,1,100,10
1/1/2022,5:30 AM,21.5,21.5,21.5,82,18.3,0.4,WSW,0.27,1.8,WSW,21.5,22.3,22.3,21,1007.1,0,0,0,0,0,0,0,0,0,0.022,24.2,63,16.7,24.8,0,235,1,100,10
1/1/2022,5:40 AM,21.4,21.5,21.4,82,18.2,0.4,NNE,0.27,2.2,NNE,21.4,22.2,22.2,20.9,1007.3,0,0,0,0,0,0,0,0,0,0.022,24.3,63,16.8,24.8,0,234,1,100,10
1/1/2022,5:50 AM,21.4,21.4,21.4,82,18.2,0.4,NNE,0.27,2.2,NNE,21.4,22.2,22.2,20.9,1007.4,0,0,0,0,0,0,0,0,0,0.021,24.3,63,16.8,24.8,0,234,1,100,10
1/1/2022,6:00 AM,21.3,21.4,21.3,82,18.1,0.4,NNE,0.27,1.8,NNE,21.3,22.1,22.1,20.8,1007.5,0,0,0,0,0,0,0,0,0,0.021,24.3,63,16.8,24.9,0.03,234,1,100,10
1/1/2022,6:10 AM,21.3,21.3,21.3,83,18.3,0.4,WSW,0.27,1.3,WSW,21.3,22.1,22.1,20.8,1007.6,0,0,0,0,0,0,0,0,0,0.021,24.3,63,16.8,24.9,0,234,1,100,10
1/1/2022,6:20 AM,21.3,21.3,21.3,83,18.3,0.4,NNE,0.27,1.8,NNE,21.3,22.1,22.1,20.8,1007.6,0,0,1,0.01,5,0,0,0,0,0.02,24.3,63,16.8,24.9,0,234,1,100,10
1/1/2022,6:30 AM,21.2,21.3,21.2,83,18.2,0.4,NNE,0.27,1.8,NNE,21.2,22,22,20.8,1007.7,0,0,8,0.11,12,0,0,0,0,0.02,24.4,63,16.9,25,0,234,1,100,10
1/1/2022,6:40 AM,21.2,21.2,21.2,83,18.2,0,NNE,0,1.3,NNE,21.2,22,22,20.9,1007.7,0,0,16,0.23,21,0,0,0,0,0.02,24.4,63,16.9,25,0,235,1,100,10
1/1/2022,6:50 AM,21.2,21.3,21.2,83,18.2,0,NNE,0,0.9,NNE,21.2,22,22,21,1007.8,0,0,25,0.36,30,0,0,0,0,0.02,24.2,61,16.2,24.7,0,234,1,100,10
1/1/2022,7:00 AM,21.3,21.3,21.2,83,18.3,0.4,NNE,0.27,1.8,NNE,21.3,22.1,22.1,21.3,1008,0,0,41,0.59,53,0,0,0,0,0.021,23.9,63,16.5,24.6,0.03,234,1,100,10
1/1/2022,7:10 AM,21.4,21.4,21.3,83,18.4,0.4,SE,0.27,1.3,NNE,21.4,22.3,22.3,23.6,1008.1,0,0,78,1.12,95,0.7,0.05,0.8,0,0.022,24.1,63,16.6,24.7,0,234,1,100,10
1/1/2022,7:20 AM,21.6,21.6,21.4,83,18.5,0.4,SE,0.27,1.3,NNE,21.6,22.4,22.4,23.9,1008.2,0,0,88,1.26,95,0.9,0.06,0.9,0,0.022,24.1,63,16.6,24.7,0,234,1,100,10
1/1/2022,7:30 AM,21.7,21.7,21.6,82,18.5,0.4,WSW,0.27,1.8,WSW,21.7,22.5,22.5,24.5,1008.3,0,0,110,1.58,158,1,0.07,1.1,0,0.023,24.2,63,16.7,24.8,0,234,1,100,10
1/1/2022,7:40 AM,21.8,21.8,21.7,82,18.6,0.4,WSW,0.27,1.8,WSW,21.8,22.6,22.6,25,1008.5,0,0,132,1.89,165,1.1,0.08,1.2,0,0.024,24.3,63,16.8,24.8,0,235,1,100,10
1/1/2022,7:50 AM,21.9,21.9,21.8,82,18.7,0.4,NNE,0.27,1.8,NNE,21.9,22.7,22.7,25.4,1008.6,0,0,154,2.21,171,1.3,0.09,1.3,0,0.025,24.2,60,15.9,24.6,0,234,1,100,10
1/1/2022,8:00 AM,22.1,22.1,21.9,81,18.6,0.4,WSW,0.27,1.3,WSW,22.1,22.9,22.9,26.3,1008.7,0,0,201,2.88,216,1.4,0.1,1.5,0,0.026,23.9,64,16.7,24.6,0,234,1,100,10
1/1/2022,8:10 AM,22.4,22.4,22.1,81,19,0.9,SE,0.54,1.8,ESE,22.4,23.3,23.3,27.4,1008.7,0,0,250,3.58,279,1.7,0.12,1.8,0,0.028,23.9,64,16.7,24.6,0.08,234,1,100,10
1/1/2022,8:20 AM,22.7,22.7,22.4,80,19.1,0.4,NNE,0.27,1.8,SE,22.7,23.7,23.7,28.2,1008.7,0,0,284,4.07,355,2,0.14,2.1,0,0.03,24.2,64,16.9,24.8,0,234,1,100,10
1/1/2022,8:30 AM,22.9,22.9,22.7,78,18.8,0.9,NNE,0.54,1.8,NNE,22.9,23.8,23.8,27.9,1008.7,0,0,269,3.86,276,2.1,0.15,2.2,0,0.032,23.9,63,16.4,24.5,0,234,1,100,10
1/1/2022,8:40 AM,23.1,23.1,22.9,78,19,0.9,NNE,0.54,1.8,ESE,23.1,24.1,24.1,28.2,1008.6,0,0,280,4.01,287,2.3,0.16,2.5,0,0.033,23.9,64,16.7,24.6,0,234,1,100,10
1/1/2022,8:50 AM,23.3,23.3,23.1,77,19,0.4,WSW,0.27,1.8,WSW,23.3,24.3,24.3,28.4,1008.6,0,0,289,4.14,309,2.6,0.19,2.8,0,0.034,23.9,61,16,24.5,0,235,1,100,10
1/1/2022,9:00 AM,23.4,23.4,23.3,76,19,1.3,ESE,0.8,1.8,ESE,23.4,24.6,24.6,29.5,1008.6,0,0,375,5.38,422,3.1,0.22,3.5,0,0.035,23.8,65,16.8,24.5,0.18,234,1,100,10
1/1/2022,9:10 AM,24.1,24.1,23.4,75,19.3,0.9,ESE,0.54,1.8,ESE,24.1,25.3,25.3,31.4,1008.6,0,0,622,8.92,701,4.1,0.29,4.2,0,0.04,23.9,63,16.5,24.6,0,234,1,100,10
1/1/2022,9:20 AM,24.1,24.2,24.1,74,19.2,1.3,WSW,0.8,2.2,NNE,24.1,25.3,25.3,31.6,1008.4,0,0,587,8.41,594,4.5,0.32,4.7,0,0.04,23.8,65,16.8,24.5,0,234,1,100,10
1/1/2022,9:30 AM,24.5,24.5,24.1,73,19.3,0.9,SE,0.54,2.2,WSW,24.5,25.7,25.7,32.1,1008.3,0,0,605,8.67,628,4.9,0.35,5.2,0,0.043,23.9,62,16.2,24.5,0,234,1,100,10
1/1/2022,9:40 AM,24.9,25,24.5,71,19.3,0.9,E,0.54,2.2,E,24.9,26.1,26.1,32.4,1008.4,0,0,644,9.23,661,5.5,0.39,5.8,0,0.046,23.8,65,16.8,24.5,0,234,1,100,10
1/1/2022,9:50 AM,25.4,25.4,24.9,70,19.6,0.9,E,0.54,2.2,NNE,25.4,26.6,26.6,33.1,1008.3,0,0,676,9.69,691,6,0.43,6.2,0,0.049,23.8,63,16.3,24.4,0,235,1,100,10
1/1/2022,10:00 AM,25.7,25.7,25.4,69,19.6,0.9,NNE,0.54,1.8,NNE,25.7,26.7,26.7,33.2,1008.1,0,0,709,10.16,722,6.5,0.46,6.8,0,0.051,23.8,65,16.8,24.5,0.41,234,1,100,10
1/1/2022,10:10 AM,26.4,26.4,25.7,67,19.8,0.4,SE,0.27,1.3,ESE,26.4,27.6,27.6,34.1,1007.9,0,0,733,10.51,740,7,0.5,7.2,0,0.056,23.7,66,16.9,24.4,0,234,1,100,10
1/1/2022,10:20 AM,26.4,26.6,26.3,65,19.3,0.9,WSW,0.54,2.2,W,26.4,27.5,27.5,34,1007.7,0,0,758,10.87,766,7.5,0.54,7.7,0,0.056,23.7,65,16.7,24.4,0,234,1,100,10
1/1/2022,10:30 AM,26.8,26.8,26.4,64,19.4,0.9,ESE,0.54,2.2,NNE,26.8,27.9,27.9,34.4,1007.6,0,0,783,11.22,796,8.1,0.58,8.3,0,0.059,23.8,63,16.3,24.4,0,234,1,100,10
1/1/2022,10:40 AM,27.1,27.1,26.8,61,18.9,0.4,WSW,0.27,1.8,WSW,27.1,28.1,28.1,34.6,1007.5,0,0,809,11.6,819,8.5,0.61,8.8,0,0.061,23.8,66,17,24.6,0,234,1,100,10
1/1/2022,10:50 AM,27.8,27.9,27.1,57,18.5,0.9,WSW,0.54,4,WSW,27.8,28.8,28.8,35.3,1007.3,0,0,832,11.93,840,8.9,0.64,9.1,0,0.066,23.8,66,17,24.6,0,234,1,100,10
1/1/2022,11:00 AM,28.4,28.4,27.8,56,18.8,0.9,SE,0.54,2.2,SE,28.4,29.6,29.6,36,1007.1,0,0,850,12.18,863,9.3,0.66,9.6,0,0.07,23.8,66,17,24.6,0.53,235,1,100,10
1/1/2022,11:10 AM,28.8,28.8,28.4,55,18.8,1.3,E,0.8,5.8,E,28.8,30.2,30.2,36.6,1007,0,0,862,12.36,874,9.7,0.69,9.9,0,0.073,23.8,65,16.8,24.5,0,234,1,100,10
1/1/2022,11:20 AM,28.9,29,28.8,53,18.4,0.9,WSW,0.54,4.9,WSW,28.9,30.2,30.2,36.7,1006.8,0,0,879,12.6,888,10,0.71,10.2,0,0.074,23.9,64,16.7,24.6,0,234,1,100,10
1/1/2022,11:30 AM,29.6,29.6,28.9,52,18.7,0.4,WNW,0.27,1.3,WSW,29.6,30.9,30.9,37.3,1006.7,0,0,894,12.82,900,10.3,0.74,10.4,0,0.078,23.9,64,16.7,24.6,0,234,1,100,10
1/1/2022,11:40 AM,30.1,30.3,29.7,51,18.9,0.4,WSW,0.27,1.8,WSW,30.1,31.6,31.6,37.9,1006.7,0,0,914,13.1,930,10.6,0.76,10.8,0,0.082,23.9,64,16.7,24.6,0,234,1,100,10
1/1/2022,11:50 AM,30.3,30.3,30,50,18.7,0.9,W,0.54,1.8,WSW,30.3,31.8,31.8,38.1,1006.3,0,0,921,13.2,933,10.8,0.77,11,0,0.083,24.1,64,16.8,24.7,0,234,1,100,10
1/1/2022,12:00 PM,30.1,30.4,30.1,50,18.5,0.9,SE,0.54,2.2,E,30.1,31.4,31.4,37.7,1006.2,0,0,926,13.27,932,11,0.79,11.1,0,0.082,24.1,64,16.8,24.7,0,235,1,100,10
1/1/2022,12:10 PM,30.5,30.5,30.1,50,18.9,0.4,WSW,0.27,2.2,WSW,30.5,32.2,32.2,38.4,1006.1,0,0,932,13.36,937,11.1,0.79,11.1,0,0.084,24.2,65,17.2,24.9,0.61,234,1,100,10
1/1/2022,12:20 PM,31,31,30.5,49,19,0.4,ESE,0.27,2.2,ESE,31,32.7,32.7,39,1005.8,0,0,930,13.33,939,11,0.79,11,0,0.088,24.2,65,17.2,24.9,0,234,1,100,10
1/1/2022,12:30 PM,31.8,31.8,31.1,47,19.1,0.9,NNE,0.54,2.7,NNE,31.8,33.9,33.9,40.2,1005.7,0,0,936,13.42,940,11,0.79,11.1,0,0.094,24.3,66,17.5,25,0,234,1,100,10
1/1/2022,12:40 PM,31.6,31.8,31.6,48,19.2,0.9,ESE,0.54,2.2,WSW,31.6,33.6,33.6,39.8,1005.6,0,0,935,13.4,940,11,0.79,11.1,0,0.092,24.3,64,17,24.9,0,234,1,100,10
1/1/2022,12:50 PM,31.7,31.7,31.4,48,19.3,0.9,NNE,0.54,2.7,NNE,31.7,33.9,33.9,40.2,1005.4,0,0,927,13.29,933,10.9,0.78,11,0,0.093,24.3,64,17,24.9,0,234,1,100,10
1/1/2022,1:00 PM,31.9,31.9,31.6,48,19.5,0.9,W,0.54,2.2,NW,31.9,34.2,34.2,40.5,1005.1,0,0,921,13.2,937,10.6,0.76,10.8,0,0.094,24.3,65,17.3,25,0.66,234,1,100,10
1/1/2022,1:10 PM,32.4,32.4,31.9,46,19.3,0.9,W,0.54,3.1,WSW,32.4,34.6,34.6,40.7,1005,0,0,923,13.23,940,10.4,0.74,10.6,0,0.098,24.3,65,17.3,25,0,235,1,100,10
1/1/2022,1:20 PM,32.3,32.4,32.1,47,19.5,1.3,WSW,0.8,2.2,WSW,32.3,34.6,34.6,40.4,1004.9,0,0,953,13.66,998,10.2,0.73,10.6,0,0.097,24.3,64,17.1,24.9,0,234,1,100,10
1/1/2022,1:30 PM,32.3,32.4,32.2,47,19.6,1.3,NNE,0.8,4.5,SE,32.3,34.7,34.7,40.6,1004.7,0,0,940,13.48,970,9.8,0.7,10.2,0,0.097,24.4,63,16.9,25,0,234,1,100,10
1/1/2022,1:40 PM,32.2,32.3,32,48,19.8,1.3,NNE,0.8,3.1,SW,32.2,34.6,34.6,40.6,1004.4,0,0,899,12.89,933,9.3,0.66,9.7,0,0.096,24.3,64,17.1,24.9,0,234,1,100,10
1/1/2022,1:50 PM,32.3,32.4,32.2,47,19.6,1.8,WSW,1.07,3.1,W,32.3,34.7,34.7,40.9,1004.3,0,0,875,12.54,888,9.1,0.65,9.3,0,0.097,24.4,62,16.7,24.9,0,234,1,100,10
1/1/2022,2:00 PM,32.6,32.6,32.3,46,19.5,0.9,NNE,0.54,2.7,W,32.6,34.9,34.9,40.9,1004.3,0,0,883,12.66,893,9,0.64,9.1,0,0.099,24.4,64,17.2,25.1,0.66,234,1,100,10
1/1/2022,2:10 PM,33.1,33.1,32.6,45,19.6,0.9,ESE,0.54,3.1,WSW,33.1,35.7,35.7,41.7,1004,0,0,874,12.53,898,8.6,0.61,8.6,0,0.103,24.4,63,16.9,25,0,235,1,100,10
1/1/2022,2:20 PM,33.1,33.3,33.1,45,19.6,1.3,SE,0.8,3.1,SE,33.1,35.7,35.7,41.8,1004,0,0,862,12.36,879,8.2,0.59,8.4,0,0.103,24.4,63,16.9,25,0,234,1,100,10
1/1/2022,2:30 PM,33.2,33.2,33.1,45,19.6,1.3,SE,0.8,2.7,NNE,33.2,35.8,35.8,41.9,1004,0,0,828,11.87,919,7.4,0.53,8,0,0.103,24.4,64,17.2,25.1,0,234,1,100,10
1/1/2022,2:40 PM,32.9,33.2,32.9,45,19.4,1.8,WSW,1.07,5.4,WSW,32.9,35.3,35.3,41.6,1003.9,0,0,642,9.2,921,6.6,0.47,7.6,0,0.101,24.4,62,16.7,24.9,0,234,1,100,10
1/1/2022,2:50 PM,32.2,32.8,32.2,46,19.1,2.2,WSW,1.34,6.3,WSW,32.2,34.2,34.2,40.4,1003.9,0,0,621,8.9,856,6.2,0.44,7,0,0.096,24.6,63,17,25.1,0,234,1,100,10
1/1/2022,3:00 PM,32.4,32.4,32.1,44,18.6,2.2,W,1.34,5.8,WNW,32.4,34.1,34.1,41,1003.8,0,0,833,11.94,853,6.7,0.48,6.9,0,0.098,24.6,63,17,25.1,0.58,234,1,100,10
1/1/2022,3:10 PM,31.2,32.4,31.2,46,18.2,2.7,WSW,1.61,5.4,WSW,31.2,32.4,32.4,36.4,1003.9,0,0,336,4.82,805,4.2,0.3,6.1,0,0.089,24.6,61,16.5,25,0,235,1,100,10
1/1/2022,3:20 PM,30.5,31.2,30.5,47,17.9,2.2,WSW,1.34,4.9,W,30.5,31.7,31.7,35.3,1003.9,0,0,295,4.23,336,3.2,0.23,3.8,0,0.084,24.4,62,16.7,24.9,0,234,1,100,10
1/1/2022,3:30 PM,30.1,30.5,30.1,49,18.2,2.2,WSW,1.34,4.5,W,30.1,31.2,31.2,33.9,1004,0,0,218,3.13,244,2.4,0.17,2.7,0,0.081,24.3,61,16.3,24.8,0,234,1,100,10
1/1/2022,3:40 PM,29.6,30.1,29.6,49,17.8,2.2,WSW,1.34,4.9,SW,29.6,30.6,30.6,32.8,1004,0,0,182,2.61,190,2.1,0.15,2.2,0,0.078,24.3,63,16.8,24.9,0,234,1,100,10
1/1/2022,3:50 PM,29.2,29.6,29.2,51,18,2.2,WSW,1.34,5.8,SSW,29.2,30.3,30.3,33,1004,0,0,204,2.92,223,2.2,0.16,2.3,0,0.076,24.3,63,16.8,24.9,0,234,1,100,10
1/1/2022,4:00 PM,28.9,29.2,28.9,52,18.1,2.2,WSW,1.34,5.4,WSW,28.9,30.1,30.1,32.9,1004.1,0,0,204,2.92,225,2.2,0.16,2.3,0,0.074,24.3,61,16.3,24.8,0.23,234,1,100,10
1/1/2022,4:10 PM,28.7,28.9,28.7,53,18.2,2.2,WSW,1.34,4.5,WSW,28.7,29.9,29.9,33.3,1004,0,0,232,3.33,258,2.2,0.16,2.3,0,0.072,24.3,62,16.5,24.8,0,234,1,100,10
1/1/2022,4:20 PM,28.6,28.7,28.6,54,18.3,2.2,WSW,1.34,5.4,WSW,28.6,29.7,29.7,32.3,1004.2,0,0,177,2.54,197,1.8,0.13,1.9,0,0.071,24.2,63,16.7,24.8,0,235,1,100,10
1/1/2022,4:30 PM,28.3,28.6,28.3,55,18.4,2.2,WSW,1.34,4.9,WSW,28.3,29.3,29.3,32.2,1004.3,0,0,179,2.57,183,1.7,0.12,1.7,0,0.069,24.3,64,17,24.9,0,234,1,100,10
1/1/2022,4:40 PM,28,28.3,28,55,18.1,2.2,WSW,1.34,4.5,NNE,28,28.9,28.9,31.5,1004.4,0,0,166,2.38,181,1.5,0.11,1.6,0,0.067,24.2,64,16.9,24.8,0,234,1,100,10
1/1/2022,4:50 PM,27.8,28.1,27.8,56,18.2,1.8,WSW,1.07,2.7,WSW,27.8,28.7,28.7,30.3,1004.5,0,0,104,1.49,120,1.3,0.09,1.3,0,0.066,24.2,64,16.9,24.8,0,234,1,100,10
1/1/2022,5:00 PM,27.4,27.8,27.4,57,18.2,1.8,WSW,1.07,4,NNE,27.4,28.2,28.2,29.4,1004.7,0,0,78,1.12,86,1.1,0.08,1.2,0,0.063,24.2,64,16.9,24.8,0,234,1,100,10
1/1/2022,5:10 PM,27.3,27.4,27.3,58,18.3,1.3,WSW,0.8,2.7,SW,27.3,28.1,28.1,29.2,1004.9,0,0,76,1.09,81,1.1,0.08,1.1,0,0.062,24.2,64,16.9,24.8,0.15,234,1,100,10
1/1/2022,5:20 PM,26.9,27.3,26.9,59,18.3,1.3,WSW,0.8,4.9,WSW,26.9,27.7,27.7,28.7,1005.1,0,0,64,0.92,76,1,0.07,1.1,0,0.06,24.3,63,16.8,24.8,0,235,1,100,10
1/1/2022,5:30 PM,26.3,26.9,26.3,60,17.9,2.2,WSW,1.34,4.9,WSW,26.3,27,27,27.6,1005.3,0,0,45,0.65,53,0,0,0,0,0.056,24.3,66,17.5,25,0,234,1,100,10
1/1/2022,5:40 PM,26.1,26.3,26.1,61,18,1.8,WSW,1.07,2.7,WSW,26.1,26.8,26.8,26.9,1005.4,0,0,29,0.42,35,0,0,0,0,0.054,24.2,66,17.4,24.9,0,234,1,100,10
1/1/2022,5:50 PM,25.7,26.1,25.7,62,17.9,1.8,WSW,1.07,4.5,WSW,25.7,26.4,26.4,26.6,1005.5,0,0,28,0.4,33,0,0,0,0,0.051,24.1,65,17.1,24.8,0,234,1,100,10
1/1/2022,6:00 PM,25.4,25.7,25.3,63,17.8,1.8,WSW,1.07,4,W,25.4,26.1,26.1,25.5,1005.6,0,0,30,0.43,33,0,0,0,0,0.049,24.1,63,16.6,24.7,0,234,1,100,10
1/1/2022,6:10 PM,25.2,25.4,25.2,63,17.7,1.3,WSW,0.8,3.1,W,25.2,25.8,25.8,25.2,1005.8,0,0,22,0.32,25,0,0,0,0,0.048,24.1,66,17.3,24.8,0.08,234,1,100,10
1/1/2022,6:20 PM,25.1,25.2,25.1,63,17.6,1.3,WSW,0.8,2.7,WSW,25.1,25.7,25.7,24.9,1005.9,0,0,16,0.23,19,0,0,0,0,0.047,23.9,66,17.2,24.7,0,234,1,100,10
1/1/2022,6:30 PM,25.1,25.1,25.1,63,17.5,1.3,W,0.8,3.1,W,25.1,25.7,25.7,24.8,1006.1,0,0,10,0.14,11,0,0,0,0,0.047,23.9,63,16.5,24.6,0,235,1,100,10
1/1/2022,6:40 PM,25.1,25.1,25,62,17.3,0.9,W,0.54,1.8,W,25.1,25.6,25.6,24.7,1006.3,0,0,1,0.01,7,0,0,0,0,0.047,23.9,66,17.1,24.7,0,234,1,100,10
